month,month_label,parameter,climatology_mean,climatology_median,climatology_sd,n_obs
1,Jan,precipitazione,1.089427031698823,0.7533333333333333,1.017085439552962,47
1,Jan,pressione,868.1369280776827,850.082258064516,51.890723439981436,28
1,Jan,temperatura,0.5275083851671927,0.7721357063403782,2.8227562551544034,56
1,Jan,umidit_relativa,59.93564989065704,60.40967741935483,9.886067976072265,49
2,Feb,precipitazione,0.9525284005227707,0.47142857142857136,1.1342568177610077,49
2,Feb,pressione,871.0246261435609,853.3765394088671,51.52747548359384,28
2,Feb,temperatura,3.2409037852541545,3.414285714285714,3.0026565736220645,56
2,Feb,umidit_relativa,58.03656127475621,56.20344827586207,9.516246264378102,49
3,Mar,precipitazione,1.9613544440622148,1.361290322580645,2.166443824851174,49
3,Mar,pressione,867.5814516129033,850.2854838709677,51.233483166532984,28
3,Mar,temperatura,4.586846628529053,4.727311827956989,3.685120523545062,56
3,Mar,umidit_relativa,58.296460390607855,58.42333333333333,8.654268002741398,49
4,Apr,precipitazione,2.4401729164572235,1.8066666666666664,2.364527581563366,49
4,Apr,pressione,866.4449659863945,849.765,50.457581392895115,28
4,Apr,temperatura,7.67203231292517,7.9816666666666665,3.931669471346718,56
4,Apr,umidit_relativa,58.40886079554975,58.39666666666667,5.951608057836219,49
5,May,precipitazione,3.265096084516756,2.8,2.0619272562978455,49
5,May,pressione,867.6760368663595,851.016129032258,49.74766446970204,28
5,May,temperatura,11.688131867040475,11.648337438423646,4.120941241824323,56
5,May,umidit_relativa,64.5749502524671,64.89032258064516,7.03551868606205,49
6,Jun,precipitazione,2.7787524134322164,2.486666666666667,1.3586551358513275,49
6,Jun,pressione,870.2473850574712,854.3216666666667,48.697359245140255,28
6,Jun,temperatura,16.892783251231528,17.21333333333333,3.991539979371098,56
6,Jun,umidit_relativa,64.58204704499063,65.41666666666667,5.788869555057974,49
7,Jul,precipitazione,1.7502435813034891,1.606451612903226,1.1583341525818502,49
7,Jul,pressione,870.2914746543779,855.1403225806453,48.151726892441125,28
7,Jul,temperatura,19.079821428571428,19.704838709677418,3.9120334082394566,56
7,Jul,umidit_relativa,58.09410650281618,57.92903225806452,6.29224970172465,49
8,Aug,precipitazione,1.926977215802895,1.6,0.9900251651889929,49
8,Aug,pressione,870.3674747073468,854.4055061179088,48.27310287350532,28
8,Aug,temperatura,18.581802465702633,19.13225806451613,3.831382700231614,56
8,Aug,umidit_relativa,59.69208164562504,59.21612903225807,6.188116495269856,49
9,Sep,precipitazione,2.077226692776061,1.54,1.7997616606247786,49
9,Sep,pressione,870.6203571428572,853.74,49.25070117809889,28
9,Sep,temperatura,14.018690476190477,14.238333333333333,3.6532734831732956,56
9,Sep,umidit_relativa,67.11790685504971,68.31333333333333,5.441325853051186,49
10,Oct,precipitazione,3.8739068100358423,3.219354838709677,2.319957359475737,42
10,Oct,pressione,870.5090053763441,854.2774193548387,50.24612698419533,24
10,Oct,temperatura,9.803494623655913,9.764516129032259,3.3860937059910396,48
10,Oct,umidit_relativa,72.42038576183161,72.7274193548387,6.614510743021429,42
11,Nov,precipitazione,2.596577397242422,1.8900000000000001,2.35409282769157,42
11,Nov,pressione,867.3890277777778,850.3933333333334,51.545502964131465,24
11,Nov,temperatura,3.7758845417035074,3.5533333333333337,2.7611213917793282,48
11,Nov,umidit_relativa,69.25106016588775,68.50999999999999,7.96831841383146,42
12,Dec,precipitazione,1.912182260124418,1.9797552836484982,1.130836275637707,42
12,Dec,pressione,867.0240637745643,849.5112903225806,51.81465491573294,24
12,Dec,temperatura,1.0520827153627486,0.9322580645161289,2.597951703670895,48
12,Dec,umidit_relativa,67.91637113533668,68.25884315906563,7.563332023517154,42
